TIME[s]	[Pa]
4.222012E-01	1.255795E-02
4.222220E-01	2.592038E-02
4.222429E-01	2.672486E-03
4.222637E-01	2.448869E-02
4.222845E-01	8.876470E-03
4.223054E-01	1.829834E-02
4.223262E-01	2.647942E-02
4.223470E-01	1.205346E-02
4.223679E-01	3.215164E-02
4.223887E-01	4.104174E-03
4.224095E-01	2.092993E-02
4.224304E-01	1.573494E-02
4.224512E-01	1.139897E-02
4.224720E-01	3.071995E-02
4.224929E-01	1.019908E-02
4.225137E-01	3.176985E-02
4.225345E-01	1.186256E-02
4.225554E-01	1.400328E-02
4.225762E-01	1.887102E-02
4.225970E-01	3.845107E-03
4.226179E-01	2.856560E-02
4.226387E-01	9.244618E-03
4.226595E-01	2.718845E-02
4.226803E-01	2.128444E-02
4.227012E-01	1.463049E-02
4.227220E-01	3.044724E-02
4.227428E-01	5.372241E-03
4.227637E-01	2.825199E-02
4.227845E-01	1.058086E-02
4.228053E-01	1.671667E-02
4.228262E-01	2.452960E-02
4.228470E-01	8.849199E-03
4.228678E-01	3.084266E-02
4.228887E-01	9.380969E-03
4.229095E-01	2.600219E-02
4.229303E-01	1.863922E-02
4.229512E-01	1.247614E-02
4.229720E-01	2.777476E-02
4.229928E-01	4.826836E-03
4.230137E-01	2.882466E-02
4.230345E-01	1.248978E-02
4.230553E-01	1.715299E-02
4.230762E-01	2.517045E-02
4.230970E-01	9.626402E-03
4.231178E-01	2.912464E-02
4.231386E-01	7.676578E-03
4.231595E-01	2.247069E-02
4.231803E-01	1.690756E-02
4.232011E-01	9.462780E-03
4.232220E-01	2.444779E-02
4.232428E-01	3.545134E-03
4.232636E-01	2.851106E-02
4.232845E-01	1.577584E-02
4.233053E-01	2.514318E-02
4.233261E-01	2.856560E-02
4.233470E-01	9.912740E-03
4.233678E-01	2.901556E-02
4.233886E-01	4.090539E-03
4.234095E-01	1.877557E-02
4.234303E-01	1.521681E-02
4.234511E-01	1.098991E-02
4.234720E-01	3.460596E-02
4.234928E-01	1.707118E-02
4.235136E-01	3.951460E-02
4.235345E-01	1.992092E-02
4.235553E-01	1.938915E-02
4.235761E-01	2.661577E-02
4.235969E-01	5.931281E-03
4.236178E-01	2.834743E-02
4.236386E-01	7.403876E-03
4.236594E-01	2.369785E-02
4.236803E-01	2.266159E-02
4.237011E-01	1.458959E-02
4.237219E-01	3.231526E-02
4.237428E-01	1.216254E-02
4.237636E-01	3.321518E-02
4.237844E-01	1.690756E-02
4.238053E-01	1.780748E-02
4.238261E-01	2.748842E-02
4.238469E-01	1.096264E-02
4.238678E-01	3.761932E-02
4.238886E-01	1.544860E-02
4.239094E-01	3.125172E-02
4.239303E-01	2.720208E-02
4.239511E-01	1.746660E-02
4.239719E-01	3.377422E-02
4.239928E-01	9.599132E-03
4.240136E-01	2.947915E-02
4.240344E-01	1.416690E-02
4.240552E-01	1.771203E-02
4.240761E-01	3.058360E-02
4.240969E-01	1.266704E-02
4.241177E-01	3.651488E-02
4.241386E-01	1.375785E-02
4.241594E-01	2.612491E-02
4.241802E-01	2.172076E-02
4.242011E-01	1.307609E-02
4.242219E-01	3.347424E-02
4.242427E-01	1.208073E-02
4.242636E-01	3.370604E-02
4.242844E-01	1.914372E-02
4.243052E-01	1.900737E-02
4.243261E-01	2.469322E-02
4.243469E-01	5.290431E-03
4.243677E-01	2.960187E-02
4.243886E-01	1.220344E-02
4.244094E-01	3.028362E-02
4.244302E-01	3.037907E-02
4.244511E-01	2.030271E-02
4.244719E-01	3.778294E-02
4.244927E-01	1.351241E-02
4.245135E-01	3.519227E-02
4.245344E-01	2.193892E-02
4.245552E-01	2.203437E-02
4.245760E-01	3.221981E-02
4.245969E-01	1.229889E-02
4.246177E-01	3.332426E-02
4.246385E-01	1.060813E-02
4.246594E-01	2.432507E-02
4.246802E-01	2.519772E-02
4.247010E-01	1.865286E-02
4.247219E-01	3.727844E-02
4.247427E-01	1.191710E-02
4.247635E-01	3.111537E-02
4.247844E-01	1.802564E-02
4.248052E-01	1.967549E-02
4.248260E-01	3.276522E-02
4.248469E-01	1.630761E-02
4.248677E-01	4.087812E-02
4.248885E-01	1.786202E-02
4.249094E-01	3.106083E-02
4.249302E-01	3.067904E-02
4.249510E-01	1.844833E-02
4.249718E-01	3.584675E-02
4.249927E-01	1.375785E-02
4.250135E-01	3.376058E-02
4.250343E-01	2.578403E-02
4.250552E-01	2.885194E-02
4.250760E-01	4.090539E-02
4.250968E-01	2.090265E-02
4.251177E-01	4.165532E-02
4.251385E-01	1.866649E-02
4.251593E-01	2.924735E-02
4.251802E-01	3.021545E-02
4.252010E-01	1.967549E-02
4.252218E-01	4.161442E-02
4.252427E-01	2.004364E-02
4.252635E-01	3.890103E-02
4.252843E-01	2.551133E-02
4.253052E-01	2.148896E-02
4.253260E-01	2.952006E-02
4.253468E-01	6.872105E-03
4.253677E-01	3.250615E-02
4.253885E-01	1.923917E-02
4.254093E-01	3.539680E-02
4.254301E-01	3.663759E-02
4.254510E-01	2.008455E-02
4.254718E-01	3.534226E-02
4.254926E-01	1.143987E-02
4.255135E-01	3.223345E-02
4.255343E-01	2.251160E-02
4.255551E-01	2.499319E-02
4.255760E-01	4.115082E-02
4.255968E-01	2.287975E-02
4.256176E-01	4.630490E-02
4.256385E-01	2.572949E-02
4.256593E-01	3.406055E-02
4.256801E-01	3.592857E-02
4.257010E-01	2.473413E-02
4.257218E-01	4.510501E-02
4.257426E-01	2.064359E-02
4.257635E-01	3.622854E-02
4.257843E-01	2.379330E-02
4.258051E-01	1.948460E-02
4.258260E-01	3.211073E-02
4.258468E-01	1.497137E-02
4.258676E-01	3.755115E-02
4.258884E-01	2.026180E-02
4.259093E-01	2.926099E-02
4.259301E-01	3.359696E-02
4.259509E-01	2.101173E-02
4.259718E-01	4.165532E-02
4.259926E-01	1.915736E-02
4.260134E-01	4.033272E-02
4.260343E-01	3.089720E-02
4.260551E-01	3.025635E-02
4.260759E-01	4.385058E-02
4.260968E-01	2.151624E-02
4.261176E-01	4.290975E-02
4.261384E-01	2.215709E-02
4.261593E-01	2.862014E-02
4.261801E-01	2.998365E-02
4.262009E-01	2.124353E-02
4.262218E-01	4.142353E-02
4.262426E-01	2.181621E-02
4.262634E-01	4.139625E-02
4.262843E-01	3.381512E-02
4.263051E-01	3.137443E-02
4.263259E-01	4.410965E-02
4.263467E-01	1.967549E-02
4.263676E-01	3.935099E-02
4.263884E-01	1.643033E-02
4.264092E-01	2.289338E-02
4.264301E-01	2.619308E-02
4.264509E-01	1.367604E-02
4.264717E-01	3.572404E-02
4.264926E-01	1.562586E-02
4.265134E-01	3.561496E-02
4.265342E-01	3.082903E-02
4.265551E-01	3.033816E-02
4.265759E-01	4.445053E-02
4.265967E-01	2.017999E-02
4.266176E-01	4.123263E-02
4.266384E-01	2.401146E-02
4.266592E-01	3.336516E-02
4.266801E-01	3.601038E-02
4.267009E-01	2.223890E-02
4.267217E-01	4.442325E-02
4.267426E-01	2.497956E-02
4.267634E-01	4.348243E-02
4.267842E-01	3.066541E-02
4.268050E-01	2.687484E-02
4.268259E-01	4.338698E-02
4.268467E-01	2.133898E-02
4.268675E-01	4.243252E-02
4.268884E-01	2.491138E-02
4.269092E-01	3.362423E-02
4.269300E-01	3.752388E-02
4.269509E-01	1.742570E-02
4.269717E-01	3.583312E-02
4.269925E-01	1.291247E-02
4.270134E-01	3.112900E-02
4.270342E-01	2.823835E-02
4.270550E-01	2.575676E-02
4.270759E-01	4.277340E-02
4.270967E-01	2.107991E-02
4.271175E-01	4.667305E-02
4.271384E-01	2.508864E-02
4.271592E-01	2.928826E-02
4.271800E-01	3.452415E-02
4.272009E-01	2.015272E-02
4.272217E-01	4.435508E-02
4.272425E-01	2.361605E-02
4.272633E-01	4.067359E-02
4.272842E-01	3.331062E-02
4.273050E-01	2.840198E-02
4.273258E-01	4.236435E-02
4.273467E-01	1.698937E-02
4.273675E-01	3.993730E-02
4.273883E-01	2.312518E-02
4.274092E-01	2.982003E-02
4.274300E-01	3.703301E-02
4.274508E-01	2.242979E-02
4.274717E-01	4.364605E-02
4.274925E-01	2.080721E-02
4.275133E-01	3.714209E-02
4.275342E-01	3.314700E-02
4.275550E-01	2.686121E-02
4.275758E-01	3.963732E-02
4.275967E-01	1.431689E-02
4.276175E-01	3.601038E-02
4.276383E-01	1.803928E-02
4.276592E-01	2.983367E-02
4.276800E-01	4.056451E-02
4.277008E-01	2.817018E-02
4.277216E-01	5.181349E-02
4.277425E-01	3.029726E-02
4.277633E-01	4.300520E-02
4.277841E-01	3.561496E-02
4.278050E-01	2.818381E-02
4.278258E-01	4.048270E-02
4.278466E-01	1.737116E-02
4.278675E-01	3.722391E-02
4.278883E-01	2.037088E-02
4.279091E-01	2.772022E-02
4.279300E-01	3.911919E-02
4.279508E-01	2.311154E-02
4.279716E-01	4.484594E-02
4.279925E-01	2.352060E-02
4.280133E-01	3.689666E-02
4.280341E-01	3.380149E-02
4.280550E-01	2.579767E-02
4.280758E-01	4.244616E-02
4.280966E-01	1.782111E-02
4.281175E-01	3.850561E-02
4.281383E-01	2.571586E-02
4.281591E-01	3.116991E-02
4.281799E-01	3.969186E-02
4.282008E-01	2.403873E-02
4.282216E-01	4.710937E-02
4.282424E-01	2.387511E-02
4.282633E-01	3.954188E-02
4.282841E-01	3.212437E-02
4.283049E-01	2.167986E-02
4.283258E-01	3.729208E-02
4.283466E-01	1.758932E-02
4.283674E-01	4.086448E-02
4.283883E-01	2.504773E-02
4.284091E-01	3.250615E-02
4.284299E-01	3.959642E-02
4.284508E-01	2.369785E-02
4.284716E-01	4.397329E-02
4.284924E-01	1.887102E-02
4.285133E-01	3.467413E-02
4.285341E-01	3.131989E-02
4.285549E-01	2.622036E-02
4.285758E-01	4.454597E-02
4.285966E-01	2.266159E-02
4.286174E-01	4.431417E-02
4.286382E-01	2.746115E-02
4.286591E-01	2.976549E-02
4.286799E-01	3.650124E-02
4.287007E-01	1.663486E-02
4.287216E-01	3.854651E-02
4.287424E-01	1.833925E-02
4.287632E-01	3.302428E-02
4.287841E-01	2.866104E-02
4.288049E-01	2.097083E-02
4.288257E-01	3.873741E-02
4.288466E-01	1.528498E-02
4.288674E-01	3.721027E-02
4.288882E-01	2.281157E-02
4.289091E-01	2.237525E-02
4.289299E-01	3.005183E-02
4.289507E-01	1.153532E-02
4.289716E-01	3.752388E-02
4.289924E-01	2.324790E-02
4.290132E-01	4.057815E-02
4.290341E-01	3.427872E-02
4.290549E-01	2.304337E-02
4.290757E-01	3.599674E-02
4.290965E-01	1.280339E-02
4.291174E-01	3.542407E-02
4.291382E-01	2.515681E-02
4.291590E-01	2.643852E-02
4.291799E-01	3.336516E-02
4.292007E-01	1.094901E-02
4.292215E-01	3.444234E-02
4.292424E-01	1.370331E-02
4.292632E-01	2.984730E-02
4.292840E-01	2.747479E-02
4.293049E-01	1.738479E-02
4.293257E-01	3.496047E-02
4.293465E-01	1.359422E-02
4.293674E-01	3.516500E-02
4.293882E-01	2.473413E-02
4.294090E-01	2.927462E-02
4.294299E-01	3.643307E-02
4.294507E-01	1.806655E-02
4.294715E-01	4.188712E-02
4.294924E-01	2.387511E-02
4.295132E-01	3.834198E-02
4.295340E-01	3.662396E-02
4.295548E-01	2.319336E-02
4.295757E-01	3.721027E-02
4.295965E-01	1.251705E-02
4.296173E-01	2.877012E-02
4.296382E-01	2.079357E-02
4.296590E-01	2.392965E-02
4.296798E-01	3.647397E-02
4.297007E-01	2.052087E-02
4.297215E-01	4.134171E-02
4.297423E-01	1.881648E-02
4.297632E-01	3.257433E-02
4.297840E-01	3.272431E-02
4.298048E-01	2.210255E-02
4.298257E-01	4.033272E-02
